date,year,month,city,region,product,category,revenue,units_sold,cost,profit
2023-12-06,2023,12,Kolkata,East,D,Electronics,15302.75,60,8177.77,7124.98
2022-04-12,2022,4,Delhi,North,D,Electronics,17626.77,32,11693.71,5933.06
2022-12-01,2022,12,Chennai,South,B,Clothing,10111.14,53,7306.3,2804.85
2022-12-05,2022,12,Mumbai,West,D,Electronics,26334.75,65,17429.01,8905.74
2023-03-21,2023,3,Mumbai,West,D,Electronics,17335.93,26,11414.7,5921.22
2023-03-03,2023,3,Kolkata,East,D,Electronics,13826.8,42,9325.09,4501.71
2022-10-23,2022,10,Delhi,North,C,Grocery,10032.24,41,7576.2,2456.04
2021-09-11,2021,9,Delhi,North,B,Clothing,10506.89,65,7231.71,3275.19
2023-12-24,2023,12,Bangalore,South,B,Clothing,13995.21,45,8983.46,5011.75
2022-03-30,2022,3,Bangalore,South,B,Clothing,13653.54,53,10448.53,3205.0
2021-03-20,2021,3,Kolkata,East,B,Clothing,10113.05,64,7138.9,2974.15
2023-01-28,2023,1,Delhi,North,D,Electronics,17355.23,45,9169.95,8185.28
2022-02-06,2022,2,Delhi,North,C,Grocery,9262.97,43,4772.13,4490.85
2022-07-27,2022,7,Kolkata,East,C,Grocery,4035.19,60,2077.94,1957.25
2023-01-04,2023,1,Bangalore,South,B,Clothing,8921.93,56,6855.74,2066.19
2023-09-13,2023,9,Kolkata,East,B,Clothing,5381.51,50,3105.17,2276.34
2021-03-26,2021,3,Mumbai,West,A,Electronics,21914.7,70,11366.76,10547.94
2023-04-11,2023,4,Mumbai,West,A,Electronics,14437.05,58,8138.32,6298.73
2021-08-29,2021,8,Delhi,North,D,Electronics,16326.85,58,12353.38,3973.47
2022-08-14,2022,8,Mumbai,West,A,Electronics,21491.31,52,12995.43,8495.88
2023-04-29,2023,4,Mumbai,West,C,Grocery,12245.08,48,8377.07,3868.0
2022-01-02,2022,1,Chennai,South,C,Grocery,6609.81,52,3381.43,3228.38
2021-05-25,2021,5,Delhi,North,D,Electronics,15457.38,45,11246.27,4211.11
2023-05-13,2023,5,Chennai,South,A,Electronics,13760.92,34,7506.42,6254.5
2022-05-08,2022,5,Delhi,North,B,Clothing,10337.79,61,7210.19,3127.6
2022-11-12,2022,11,Bangalore,South,D,Electronics,31088.85,54,23269.48,7819.38
2023-12-01,2023,12,Bangalore,South,B,Clothing,14924.53,41,8038.74,6885.78
2023-07-14,2023,7,Mumbai,West,D,Electronics,10382.09,64,8017.94,2364.15
2023-08-06,2023,8,Mumbai,West,D,Electronics,21793.76,47,11098.13,10695.63
